"continent","location","date","population","new_vaccinations","people_vaccinated","per_pop_vacc"
"Africa","Cameroon","2021-04-12 00:00:00",26545864,400,"400",0.0015068260727923567
"Africa","Cote d'Ivoire","2021-03-16 00:00:00",26378275,2267,"8389",0.03180268611196145
"Africa","Cote d'Ivoire","2021-03-15 00:00:00",26378275,244,"6122",0.023208492594758375
"Africa","Cote d'Ivoire","2021-03-10 00:00:00",26378275,4439,"5878",0.022283488969616096
"Africa","Cote d'Ivoire","2021-03-09 00:00:00",26378275,1439,"1439",0.005455246789261238
"Africa","Cote d'Ivoire","2021-04-17 00:00:00",26378275,1639,"65477",0.2482232064075456
"Africa","Cote d'Ivoire","2021-04-18 00:00:00",26378275,1278,"66755",0.2530681024441515
"Africa","Cote d'Ivoire","2021-03-30 00:00:00",26378275,2979,"27315",0.10355112303590738
"Africa","Cote d'Ivoire","2021-03-31 00:00:00",26378275,2786,"30101",0.11411284475576966
"Africa","Cote d'Ivoire","2021-04-01 00:00:00",26378275,2572,"32673",0.12386329280440059
"Africa","Cote d'Ivoire","2021-04-02 00:00:00",26378275,2522,"35195",0.13342419092984661
"Africa","Cote d'Ivoire","2021-04-03 00:00:00",26378275,2721,"37916",0.14373949774956854
"Africa","Cote d'Ivoire","2021-04-04 00:00:00",26378275,1674,"39590",0.15008562917779877
"Africa","Cote d'Ivoire","2021-04-09 00:00:00",26378275,7752,"47342",0.17947344926838468
"Africa","Cote d'Ivoire","2021-04-10 00:00:00",26378275,5673,"53015",0.20097978355294271
"Africa","Cote d'Ivoire","2021-04-11 00:00:00",26378275,2347,"55362",0.20987725694724163
"Africa","Cote d'Ivoire","2021-04-15 00:00:00",26378275,3842,"59204",0.22444227304476885
"Africa","Cote d'Ivoire","2021-03-19 00:00:00",26378275,1677,"13384",0.05073872343813233
"Africa","Cote d'Ivoire","2021-03-20 00:00:00",26378275,1728,"15112",0.05728956878340225
"Africa","Cote d'Ivoire","2021-03-21 00:00:00",26378275,468,"15580",0.05906375606441285
"Africa","Cote d'Ivoire","2021-03-22 00:00:00",26378275,89,"15669",0.059401154927681964
"Africa","Cote d'Ivoire","2021-03-23 00:00:00",26378275,1351,"17020",0.06452279385213779
"Africa","Cote d'Ivoire","2021-03-24 00:00:00",26378275,1807,"18827",0.07137312807603985
"Africa","Cote d'Ivoire","2021-03-25 00:00:00",26378275,1649,"20476",0.07762448454267763
"Africa","Cote d'Ivoire","2021-03-26 00:00:00",26378275,1569,"22045",0.0835725611322196
"Africa","Cote d'Ivoire","2021-03-27 00:00:00",26378275,2291,"24336",0.09225773861255143
"Africa","Cote d'Ivoire","2021-03-18 00:00:00",26378275,1653,"11707",0.044381219014510996
"Africa","Cote d'Ivoire","2021-04-30 00:00:00",26378275,8767,"110682",0.4195952919590079
"Africa","Cote d'Ivoire","2021-04-29 00:00:00",26378275,7836,"101915",0.3863596084277687
"Africa","Cote d'Ivoire","2021-03-17 00:00:00",26378275,1665,"10054",0.03811469855401841
"Africa","Cote d'Ivoire","2021-04-28 00:00:00",26378275,6476,"94079",0.35665334446623215
"Africa","Cote d'Ivoire","2021-04-27 00:00:00",26378275,6295,"87603",0.33210283841532473
"Africa","Cote d'Ivoire","2021-04-26 00:00:00",26378275,788,"81308",0.30823850308634665
